TID,EN,DE,ES,FR,IT,NL,NO,PT,TR,DA,SV,ID,RU,CH,CHT,JP,FI,KR,AR,MS,VI,
string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,
TID_DECO_MEDITERRANEAN_SPOUTER,Mediterranean spout,فوهة البحر المتوسط,地中海流水池,地中海水池,Middelhavsspire,Mediterraner Wasserspeier,Fuente de pared mediterránea,Välimerellinen allas,Fontaine murale méditerranéenne,Pancuran Mediterania,Fontanella mediterranea,地中海の水飲み場,지중해풍 수돗가,Pancutan Mediterranean,Mediterrane tuit,Vannkaster fra Middelhavet,Bebedouro mediterrâneo,Средиземноморский фонтанчик,Medelhavsmaskaron,กำแพงน้ำตกสไตล์เมดิเตอร์เรเนียน,Akdeniz tarzı çeşme,Vòi nước Địa Trung Hải
TID_DECO_MEDITERRANEAN_WELL,Mediterranean well,بئر البحر المتوسط,地中海水井,地中海水井,Middelhavsbrønd,Mediterraner Brunnen,Bebedero mediterráneo,Välimerellinen kaivo,Source méditerranéenne,Kolam Mediterania,Pozzo mediterraneo,地中海の井戸,지중해풍 우물,Perigi Mediterranean,Mediterrane waterput,Brønn fra Middelhavet,Poço mediterrâneo,Средиземноморская колонка,Medelhavsbrunn,บ่อน้ำสไตล์เมดิเตอร์เรเนียน,Akdeniz tarzı kuyu,Giếng nước Địa Trung Hải
TID_DECO_MEDITERRANEAN_WATERMILL,Mediterranean watermill,طاحونة البحر المتوسط المائية,地中海水磨,地中海水車,Middelhavs-vandmølle,Mediterrane Wassermühle,Molino de agua mediterráneo,Välimerellinen mylly,Moulin à eau méditerranéen,Kincir air Mediterania,Mulino mediterraneo,地中海の水車,지중해풍 물레방아,Kuncir air Mediterranean,Mediterrane watermolen,Vannmølle fra Middelhavet,Moinho mediterrâneo,Водяная мельница,Medelhavsvattenkvarn,กังหันน้ำสไตล์เมดิเตอร์เรเนียน,Akdeniz tarzı su değirmeni,Cối xay nước Địa Trung Hải
TID_DECO_MEDITERRANEAN_FOUNTAIN,Mediterranean fountain,ينبوع البحر المتوسط,地中海喷泉,地中海噴泉,Middelhavs-springvand,Mediterraner Springbrunnen,Fuente mediterránea,Välimerellinen lähde,Fontaine méditerranéenne,Air Mancur Mediterania,Fontana mediterranea,地中海の噴水,지중해풍 분수,Air pancut Mediterranean,Mediterrane fontein,Fontene fra Middelhavet,Fonte mediterrânea,Средиземноморский фонтан,Medelhavsfontän,น้ำพุสไตล์เมดิเตอร์เรเนียน,Akdeniz tarzı fıskiye,Đài phun nước Địa Trung Hải
TID_DECO_MEDITERRANEAN_SPA,Mediterranean spa,منتجع البحر المتوسط,地中海水疗池,地中海水療池,Middelhavs-spa,Mediterrane Therme,Estanque mediterráneo,Välimerellinen kylpy,Spa méditerranéen,Spa Mediterania,Terme mediterranee,地中海の浴場,지중해풍 스파,Spa Mediterranean,Mediterraans kuuroord,Spa fra Middelhavet,Spa mediterrâneo,Средиземноморская купальня,Medelhavsspa,สปาสไตล์เมดิเตอร์เรเนียน,Akdeniz tarzı spa,Spa phong cách Địa Trung Hải
TID_DECO_GARDENING_WORKSPACE,Gardening workbench,طاولة الزراعة,园艺工作台,園藝工作台,Havearbejdsbænk,Gartenwerkbank,Banco de jardinería,Puutarhan työpöytä,Station de jardinage,Sudut berkebun,Banco del giardiniere,庭仕事の作業台,원예 작업대,Meja kerja berkebun,Tuinierswerkbank,Arbeidsbenk i hagen,Balcão de jardinagem,Рабочее место садовника,Trädgårdsarbetsbänk,มุมทำสวน,Bahçıvan tezgahı,Bàn làm vườn
TID_DECO_SAMURAI_HELMET,Samurai helmet,خوذة الساموراي,武士兜,武士兜,Samurai-hjelm,Samurai-Helm,Casco de samurái,Samuraikypärä,Casque de samouraï,Helm samurai,Elmo da samurai,武士の兜,사무라이 헬멧,Ketopong samurai,Samuraihelm,Samuraihjelm,Capacete de samurai,Самурайский шлем,Samurajhjälm,หมวกซามูไร,Samuray miğferi,Mũ giáp samurai
TID_DECO_FESTIVAL_BUS,Festival bus,حافلة المهرجان,狂欢巴士,狂歡巴士,Festivalbus,Festivalbus,Autobús de festival,Juhlabussi,Bus de festival,Bus festival,Bus della festa,お祭りのバス,축제 버스,Bas pesta,Festivalbus,Festivalbuss,Ônibus do festival,Фестивальный автобус,Festivalbuss,รถบัสงานฉลอง,Festival arabası,Xe buýt lễ hội
TID_DECO_WISTERIA_BRIDGE,Wisteria bridge,جسر الوستاريا,紫藤拱桥,紫藤拱橋,Wisteria-bro,Blauregenbrücke,Puente de glicinia,Sinisadesilta,Pont de glycine,Jembatan wisteria,Ponte dei glicini,藤の咲く橋,위스테리아 다리,Jambatan wisteria,Wisteriabrug,Blåregnbro,Ponte de glicínias,Мостик с глицинией,Blåregnsbro,สะพานดอกวิสทีเรีย,Morsalkımlı köprü,Cầu hoa tử đằng
